1	2	-72.95
1	3	-76.47
1	4	-88.59
1	5	-87.25
1	6	-85.08
1	7	-82.52
1	8	-82.20
1	9	-82.60
1	10	-87.57
1	11	-87.94
1	12	-88.80
1	13	-89.48
1	14	-90.19
1	15	-91.29
1	16	-89.73
1	17	-86.46
1	18	-80.19
1	19	-83.75
1	20	-83.79
2	1	-72.95
2	3	-80.47
2	4	-89.49
2	5	-87.91
2	6	-85.74
2	7	-82.22
2	8	-80.05
2	9	-79.51
2	10	-85.96
2	11	-86.72
2	12	-87.98
2	13	-88.97
2	14	-89.85
2	15	-91.11
2	16	-89.77
2	17	-86.87
2	18	-78.63
2	19	-85.08
2	20	-83.21
3	1	-76.47
3	2	-80.47
3	4	-86.24
3	5	-85.06
3	6	-82.69
3	7	-81.98
3	8	-83.86
3	9	-85.11
3	10	-88.93
3	11	-88.73
3	12	-89.08
3	13	-89.35
3	14	-89.83
3	15	-90.76
3	16	-88.78
3	17	-84.65
3	18	-81.55
3	19	-79.79
3	20	-83.57
4	1	-88.59
4	2	-89.49
4	3	-86.24
4	5	-79.21
4	6	-82.52
4	7	-86.77
4	8	-89.25
4	9	-90.53
4	10	-92.20
4	11	-91.21
4	12	-90.51
4	13	-89.68
4	14	-89.27
4	15	-89.21
4	16	-86.18
4	17	-82.92
4	18	-88.22
4	19	-81.58
4	20	-87.30
5	1	-87.25
5	2	-87.91
5	3	-85.06
5	4	-79.21
5	6	-75.06
5	7	-83.06
5	8	-86.67
5	9	-88.46
5	10	-90.22
5	11	-88.80
5	12	-87.76
5	13	-86.62
5	14	-86.18
5	15	-86.48
5	16	-81.98
5	17	-73.92
5	18	-85.50
5	19	-78.30
5	20	-83.53
6	1	-85.08
6	2	-85.74
6	3	-82.69
6	4	-82.52
6	5	-75.06
6	7	-78.78
6	8	-84.09
6	9	-86.39
6	10	-88.75
6	11	-87.30
6	12	-86.48
6	13	-85.74
6	14	-85.81
6	15	-86.77
6	16	-82.96
6	17	-70.91
6	18	-82.41
6	19	-74.56
6	20	-79.85
7	1	-82.52
7	2	-82.22
7	3	-81.98
7	4	-86.77
7	5	-83.06
7	6	-78.78
7	8	-77.30
7	9	-81.77
7	10	-85.61
7	11	-84.10
7	12	-84.09
7	13	-84.55
7	14	-85.58
7	15	-87.36
7	16	-85.06
7	17	-80.11
7	18	-73.92
7	19	-80.75
7	20	-68.07
8	1	-82.20
8	2	-80.05
8	3	-83.86
8	4	-89.25
8	5	-86.67
8	6	-84.09
8	7	-77.30
8	9	-74.09
8	10	-82.05
8	11	-81.64
8	12	-83.53
